idAmazon,idGoogleBase,title,Googlename,class
b000bnb72g,http://www.google.com/base/feeds/snippets/17010841797296818807,movies on psp,movies on psp,matching
b000ap422c,http://www.google.com/base/feeds/snippets/15918748426604243470,kids power fun for kids,kids power fun for kids,matching
b000098xjo,http://www.google.com/base/feeds/snippets/16361312648941715869,custom landdesigner 3d design 7.0,custom land designer 3d 7.0,matching
b000314vvu,http://www.google.com/base/feeds/snippets/18384366678790095384,freddi fish 2: the haunted schoolhouse,freddi fish 2 - case of haunted schl hse,matching
b000fa5ens,http://www.google.com/base/feeds/snippets/18384136689746651786,mom standard ops mgmt lic 2005 english mlp 5 oml,mom standard ops mgmt lic 2005 english mlp 5 oml,matching
b0002e3g6o,http://www.google.com/base/feeds/snippets/18384557845547191313,eastwest bsendorfer 290 grand piano virtual instrument,east west bosendorfer 290,matching
b0007iqg2q,http://www.google.com/base/feeds/snippets/18383108968754488314,midway arcade treasures (jewel case),encore inc 28453 midway arcade treasures win 98 me 2000 xp,matching
b000099sin,http://www.google.com/base/feeds/snippets/18383594456090582739,snap! 10 000 drink recipies (jewel case),10000 drink recipe - snap,matching
b000hj9r3u,http://www.google.com/base/feeds/snippets/18422892267475594445,mac os x server v10.4.7 10-client,apple apple mac os x server 10 4 7 10 client,matching
b0007yll20,http://www.google.com/base/feeds/snippets/18425596514092797479,epson storyteller photo book creator - 8 x 10 (20 pages),epson s041886 story teller 8 x 10 20 pages,matching
b0007yll20,http://www.google.com/base/feeds/snippets/18431066094306345892,epson storyteller photo book creator - 8 x 10 (20 pages),epson s041886 epson - epson storyteller photo book creator - w/ 8in x 10in book with 20 pages - complete package - 1 user - std - win,matching
b0000ak7c5,http://www.google.com/base/feeds/snippets/18424334149556003404,age of mythology (mac),destineer inc 10307 - age of mythology (mac 8.6-9.x (classic) x v10.1 or higher),matching
b000162zp6,http://www.google.com/base/feeds/snippets/18423412970630780827,emedia intermediate guitar method os x,emedia eg04025 intermediate guitar method - complete package,matching
b000i84dsy,http://www.google.com/base/feeds/snippets/18427191929555331953,ca internet security suite 2007 - 3 user,internet security suite 2007 home protection pack xl box,matching
b000gaoo7y,http://www.google.com/base/feeds/snippets/18384280629938052082,kaplan sat/act/psat express,kaplan sat/act/psat express,matching
b00008ajjc,http://www.google.com/base/feeds/snippets/18424464601572004274,passwords plus 1.0,passwords plus ( v. 1.0 ) - complete package,matching
b000jj4fbw,http://www.google.com/base/feeds/snippets/18427202789383020961,emedia essential bass guitar,emedia essential bass guitar dvd,matching
b000kmcf0g,http://www.google.com/base/feeds/snippets/18420491833696681736,scratches: directors cut,got game entertainment - exclusive - 00050 - scratches: directors cut,matching
b000ozibhk,http://www.google.com/base/feeds/snippets/18418631443367666576,x3: reunion - virtual programming ltd.,csdc x3mac x3: reunion - virtual programming ltd. mac 10.4 or later ub,matching
b000h774k0,http://www.google.com/base/feeds/snippets/18419564278412211145,write brothers dramatica pro win/mac,dramatica pro 4 for pc,matching
b000162zq0,http://www.google.com/base/feeds/snippets/18424247759201075212,emedia bass method win/mac,emedia eg03014 bass method os x,matching
b0006g2wke,http://www.google.com/base/feeds/snippets/18422068306669698354,microsoft licenses project svr sa govt (h2200301),microsoft h22-00301 gov open sa project svr w9x nt,matching
b000qs8n64,http://www.google.com/base/feeds/snippets/18422266773656246362,total training for adobe creative suite 3: design premium bundle,total training for adobe creative suite 3 design premium,matching
b000cpshfs,http://www.google.com/base/feeds/snippets/18422327928504968692,everquest: titanium,sony online entertainment inc 41032 everquest: titanium win 2000 xp,matching
b000ehq008,http://www.google.com/base/feeds/snippets/18415416380788323186,emc retrospect 7.5 professional for windows upgrade,retrospect 7.5 prof win upg only pz24a0075,matching
b000f7ixx4,http://www.google.com/base/feeds/snippets/18416260775952371893,iriscard pro business card scanner,iriscard pro,matching
b000f7ixx4,http://www.google.com/base/feeds/snippets/18406460610458325212,iriscard pro business card scanner,iris card pro,matching
b000brgbpa,http://www.google.com/base/feeds/snippets/18413484739795948632,computrace lojack for laptops - 4 year subscription,absolute software - lfl-n2-48 - computrace lojack for laptops - 4 year license,matching
b0000c6fjm,http://www.google.com/base/feeds/snippets/18413075895200367717,microsoft office frontpage 2003 ( academic version ) ( windows ),microsoft 392-02322 ae frontpage 2003,matching
b00005yx8i,http://www.google.com/base/feeds/snippets/18417819850768172148,warlords 3 (jewel case),warlords iii - darklords rising,matching
b000hkgj8k,http://www.google.com/base/feeds/snippets/18417354130985846422,autocad 2007 courseware customizing the interface,autocad 2007 coursewarecustomizing the interface,matching
b0002719lk,http://www.google.com/base/feeds/snippets/18416093365515680633,tournament poker 2005,eagle games egl 150 tournament poker - no limit texas hold'em,matching
b00006h38u,http://www.google.com/base/feeds/snippets/18406000514365649458,cold zero: no mercy,encore 28008 cold zero,matching
b000lu8a10,http://www.google.com/base/feeds/snippets/18406653450238248367,listen for ipod - magnetic time,listen for ipod - magnetic time (win 2000 xp),matching
b0006oei8u,http://www.google.com/base/feeds/snippets/18409822956112890125,atari arcade classics (mac),destineer inc 10316 - destineer atari arcade classics - action/adventure - mac,matching
b000f613x2,http://www.google.com/base/feeds/snippets/18428018889032699615,my sim aquarium,viva media llc 00257 - my sim aquarium - win 2000 xp vista,matching
b000p9cr34,http://www.google.com/base/feeds/snippets/18421148872586071492,scrabble,destineer inc 10328 scrabble mac 10.3.8 or later,matching
b000j4k804,http://www.google.com/base/feeds/snippets/18411875162562199123,instant immersion spanish (audio book),topics entertainment 40248 instant immersion spanish audio book audio book,matching
b00008mopv,http://www.google.com/base/feeds/snippets/16621550764866327052,cisco security server agent for windows and solaris - license - 100 agents - win solaris ( csa-b100-srvr-k9 ),cisco security server agent (windows and solaris) 100-agent bundle,matching
b000nwsclo,http://www.google.com/base/feeds/snippets/18404168006486239466,photoshop elements 5 and premiere elements 3 bundle win minibox (29180248),adobe systems inc - 29180248 - adobe photoshop elements 5.0/premiere elements 3.0,matching
b000ek6ekq,http://www.google.com/base/feeds/snippets/18404187604346548446,buzby breakin' all the rules hermie and friends,buzby; breakin all the rules hermie and freinds- digital pr,matching
b0008ews9o,http://www.google.com/base/feeds/snippets/18354430457145981051,instant immersion french 2.0,topics entertainment 80542 instant immersion french 2.0 781735805428,matching
b0009y6f0g,http://www.google.com/base/feeds/snippets/18404319188505755669,instant play electric guitar deluxe,topics entertainment topics entertainment play electric guitar deluxe windows,matching
b000g017kg,http://www.google.com/base/feeds/snippets/18405135648098652581,foreign policy & reform (win/mac) (jewel case),fogware publishing - 10356 - high school us history 2 - foreign policy & reform,matching
b0006g31i6,http://www.google.com/base/feeds/snippets/18405362244680246986,microsoft licenses win svr 2003 ext conn lic (r3900292),microsoft r39-00292 open win svr 2003 ext conn,matching
b000i2qubi,http://www.google.com/base/feeds/snippets/12835181529749808477,quickbooks pos: pro multistore 6.0,qb pos 6.0 pro multi store sw,matching
b000qfqa1w,http://www.google.com/base/feeds/snippets/18405745276041721942,encyclopedia britannica deluxe 2008 win/mac,britannica deluxe 2008,matching
b000056b62,http://www.google.com/base/feeds/snippets/18446496383812786183,cook'n vegetarian,cookn vegetarian,matching
b000fbk6gc,http://www.google.com/base/feeds/snippets/18446612824766852081,hidden expedition: titanic,hidden expedition: titanic,matching
b0007d8es0,http://www.google.com/base/feeds/snippets/18445465727364031756,crystal reports xi professional edition,business objects crystal reports xi,matching
b0006z16qq,http://www.google.com/base/feeds/snippets/18445827127704822533,sierra hallmark card studio special edition ( windows ),sierrahome hse hallmark card studio special edition win 98 me 2000 xp,matching
b0002w37x8,http://www.google.com/base/feeds/snippets/18444171148464728826,crusader kings,atari 26162 crusader kings mb,matching
b0006g31ao,http://www.google.com/base/feeds/snippets/18445341039052694828,microsoft licenses exch. srvr extrn conn sa eng (39400416),microsoft 394-00416 opens exch svr exconn l/sa qual,matching
b00005atxo,http://www.google.com/base/feeds/snippets/11430069725574750424,watchguard serverlock manager (100 servers),serverlock manager - 100 servers,matching
b000eavbdq,http://www.google.com/base/feeds/snippets/18443105453266961029,master server-upg,master server-upg,matching
b000ozhfsq,http://www.google.com/base/feeds/snippets/18438075297130458214,tlc dr. seuss reading learning system 2008,encore tlc dr seuss reading learning system 2008,matching
b000ozhfsq,http://www.google.com/base/feeds/snippets/9997282084409978802,tlc dr. seuss reading learning system 2008,dr. seuss reading learning system 2008 encore,matching
b000083k83,http://www.google.com/base/feeds/snippets/18439030063794622523,compaq comp. rapid deployment pk-flexible lic kit ( 302127-b21 ),hewlett packard 302127-b21 prol essentials rdp v1.x 1u flex lic min qty 5,matching
b0002bqqxw,http://www.google.com/base/feeds/snippets/18436194751131787997,oxford spanish dictionary,pop up oxford spanish / english dict,matching
b000e6q3em,http://www.google.com/base/feeds/snippets/18435517580056006507,pantone reference library,pantone gps206 - reference library,matching
b0009hmx36,http://www.google.com/base/feeds/snippets/18435954901092427938,procurve vpn client software unlimited client licenses,procurve vpn client software unlimited client licenses,matching
b0006g2zce,http://www.google.com/base/feeds/snippets/16821958940203637711,microsoft licenses sps extrnlconnnonemplyenglands c (h3200034),microsoft h32-00034 sps extrnlconnnonemplyengl&s c 805529073074,matching
b000jx3qxq,http://www.google.com/base/feeds/snippets/18435579466587005010,microspot interiors,microspot interiors (mac 10.2 or later),matching
b000jx3qxq,http://www.google.com/base/feeds/snippets/13304616444690819122,microspot interiors,microspot interiors (ints3.6sb),matching
b0000y7wc0,http://www.google.com/base/feeds/snippets/18438098517069192631,adobe acrobat distiller svr v6-cd linux u/u ( 42050142 ),adobe 42050142 acrobat distiller 6 lnx ret cd u/l lnx,matching
b000jbxxtk,http://www.google.com/base/feeds/snippets/18377982787934617712,pdf create! 4.0 retail,nuance communications inc. - m009a-l00-4.0 - pdf create v4 english,matching
b000s8jxpc,http://www.google.com/base/feeds/snippets/18415890873747923115,gods: lands of infinity - special edition,gods: lands of infinity - spec,matching
b0009zhg8k,http://www.google.com/base/feeds/snippets/18403568462989725383,icopydvds2 ultra by digital wunders,global marketing partners icopydvds2 ultra by digital wunders,matching
b000e5n0mg,http://www.google.com/base/feeds/snippets/18400554570218912442,hallmark blank greeting cards half-fold matte premium 20 count,hallmark half-fold matte prem. blank greeting cards(20 pack) (paper),matching
b000e5n0mg,http://www.google.com/base/feeds/snippets/10008484121273338467,hallmark blank greeting cards half-fold matte premium 20 count,hallmark blank greeting cards half-fold matte premium 20 count (2050xf),matching
b00079pmwa,http://www.google.com/base/feeds/snippets/18400846626733696167,sea scene: living underwater worlds (jewel case),sea scene: living underwater worlds,matching
b0000dzfvd,http://www.google.com/base/feeds/snippets/18398703861878507186,hp storageworks secure path for windows workgroup edition - ( v. 4.0c ) - license ( 213076-b26 ),hewlett packard 213076-b26 secure path v4.0c win wkgp ed 1 lic/cd,matching
b000i2jd0s,http://www.google.com/base/feeds/snippets/18393898679155461769,equilibrium debabelizer pro 6.0 - 1 user,equilibrium debabelizer pro 6 0 win 1 u windows xp,matching
b00099qrok,http://www.google.com/base/feeds/snippets/9755705822363275907,autodesk discreet combustion 4 ( windows ),autodesk combustion 4.0 compositing software - win compositing software,matching
b000068xl9,http://www.google.com/base/feeds/snippets/18398774476993389905,reel deal casino quest,reel deal casino quest (win 95 98 me 2000 xp),matching
b000bi7uqs,http://www.google.com/base/feeds/snippets/18403148885652932189,espro + interpretair s/w,fluke networks intair-lap - interpretair wlan survey - complete product - network connectivity/management - 1 user(s) - complete product - standard - pc- free shipping,matching
b0006g2wr2,http://www.google.com/base/feeds/snippets/18403352308945312678,microsoft licenses word mac 10.0 eng govt (d4800369),microsoft d48-00369 word mac 10.0 eng gov't 659556873790,matching
b000hvtk9e,http://www.google.com/base/feeds/snippets/18400163697429940544,1pk internet sec ste 2007 oem,oem internet security suite 2007 3-user single pack,matching
b000jjrwas,http://www.google.com/base/feeds/snippets/18400264612493053038,diskeeper 2007 professional single lic pack,diskeeper 2007 professional,matching
b000jx29wa,http://www.google.com/base/feeds/snippets/18403866794415896226,instant immersion japanese (audio book),instant immersion japanese (audio book) (audio book),matching
b00063blg8,http://www.google.com/base/feeds/snippets/18399719239824156071,world of warcraft 60 day pre-paid time card,vivendi-universal games inc - 72305 - world of warcraft 60 day prepaid,matching
b0002bqrq8,http://www.google.com/base/feeds/snippets/18386073325514862606,smart steps 4th grade,smart steps - 4th grade (jc),matching
b000ecoami,http://www.google.com/base/feeds/snippets/18389952572089446651,ca arcserve bkup r11.5 win dro sp1 prod only,computer associates babwbr1151s05 bab r11.5 sp1 dro win m/l cd,matching
b000067vpa,http://www.google.com/base/feeds/snippets/18389772286278704810,textbridge pro 11,scansoft textbridge pro v.11,matching
b0006b4zr2,http://www.google.com/base/feeds/snippets/18387344743770716829,emedia rock guitar method,emedia rock guitar method (win 95 98 me nt 2000 xp/mac 8.0),matching
b000aly75i,http://www.google.com/base/feeds/snippets/18391095906680955632,home bartending - 101 shooters,home bartending - 101 shooters,matching
b000a7mfn8,http://www.google.com/base/feeds/snippets/18387170188665857199,jumpstart reading with karaoke,knowledge adventure 20033 jumpstart reading with karaoke,matching
b000hlt57q,http://www.google.com/base/feeds/snippets/18385266399097496621,iremember digital scrapbooking 2.0,iremember 2.0 - intriguing development,matching
b000fepvcs,http://www.google.com/base/feeds/snippets/18395637668335924867,learn2 training for microsoft powerpoint,learn2 training for microsoft powerpoint (win 95 98 me nt 2000 xp),matching
b0000y7wck,http://www.google.com/base/feeds/snippets/18395209041486825295,adobe acrobat distiller svr v6-cd sun 100u ( 42050106 ),adobe 42050106 acrobat distiller svr v6-cd sun 100u,matching
b000gv8u32,http://www.google.com/base/feeds/snippets/18395632346791388859,tomb raider: legend,eidos interactive 40022 tomb raider: legend ds 788687400220,matching
b000btas3y,http://www.google.com/base/feeds/snippets/18393736281334607132,upgrade delphi 2006 pro named fr delphi v3-2005 pro - cd,borland hdb0006wwcs180 upg delphi 2006 prof nmd f/del v3 2005 pro cd,matching
b000qv5xqy,http://www.google.com/base/feeds/snippets/18391914133104937904,buku karkuro,sos aggregation company - 100800104 - buku karkuro - topware interactive,matching
b000bw7kxw,http://www.google.com/base/feeds/snippets/18392335669009428265,backup exec 10d win adv disk v10.1 lic only (e180518),backup exec 10d win adv disk v10.1 e/f/g/s/i/j/c/k full pk,matching
b0007q7mg2,http://www.google.com/base/feeds/snippets/13558726664717453661,netmanage upg rumba unix-hp edition level ( 902453-007-c ),902453-007-b rumba unix-hp edition - upgrade license - 1 user - volume - level b ( 5-49 ) - c,matching
b0007q7mg2,http://www.google.com/base/feeds/snippets/13029285540855383313,netmanage upg rumba unix-hp edition level ( 902453-007-c ),902453-007-e rumba unix-hp edition - upgrade license - 1 user - volume - level e ( 1000-1999,matching
b000b5ue6y,http://www.google.com/base/feeds/snippets/18392141725886908183,crystal reports 11 professional full product french,crystal reports xi professional edition - complete package,matching
b000ndibaa,http://www.google.com/base/feeds/snippets/3285016045940957596,adobe illustrator cs3 upgrade from freehand [mac],adobe illustrator cs3 upgrade from freehand for mac,matching
b0001wn1ee,http://www.google.com/base/feeds/snippets/12776057589362570320,microsoft powerpoint 2004 (mac),microsoft powerpoint 2004 software - mac apple & mac software,matching
b000jgf410,http://www.google.com/base/feeds/snippets/9949258255997064102,money premium 2007 win32 eng na mini box us only cd,money prem 2007 cd minibox,matching
b000hcl5sm,http://www.google.com/base/feeds/snippets/12905177887993533095,dora the explorer: dora's world adventures,dora the explorer: dora world adventures pc cd-rom,matching
b0000cg4ah,http://www.google.com/base/feeds/snippets/18417940197818815384,microsoft windows small business server cal 2003 license pack 20 client addpack device,windows sbs cal 2003 20-clt addpak device cal - microsoft - t74-00003,matching
b000e8jl80,http://www.google.com/base/feeds/snippets/16064170791328826375,adobe after effects professional 7.0,adobe after effects professional 7 software for windows effects software,matching
b000coxs30,http://www.google.com/base/feeds/snippets/18397190495511936667,procurve mobility manager 1.0 is a plug-in module for procurve manager plus 2.0,hp procurve mobility manager - ( v. 1.0 ) - license and media,matching
b0001y7poo,http://www.google.com/base/feeds/snippets/8489592412659021834,hp sp linux we 50 lic/cd 3.0c ( t3586a ),sp linux we 50 lic/cd 3.0c,matching
b0001y7poo,http://www.google.com/base/feeds/snippets/4468026794504477734,hp sp linux we 50 lic/cd 3.0c ( t3586a ),sp linux we 50 lic/cd 3.0c,matching
b000ndibq4,http://www.google.com/base/feeds/snippets/7928058720709111960,adobe photoshop cs3 extended [mac],adobe photoshop cs3 extended for mac,matching
b000ndibq4,http://www.google.com/base/feeds/snippets/2461116331238857888,adobe photoshop cs3 extended [mac],adobe photoshop cs3 extended software full version for macintosh,matching
b000ndibci,http://www.google.com/base/feeds/snippets/5536147337142384196,adobe indesign cs3 [mac],adobe indesign cs3 for mac,matching
b000j00xf8,http://www.google.com/base/feeds/snippets/2828778266734579385,intervideo dvd copy 5 platinum,corel intervideo dvd copy 5 platinum software for windows authoring software,matching
b000hlp5do,http://www.google.com/base/feeds/snippets/4835538995422992772,adobe photoshop elements 5.0/premier elements 3.0 [lb],adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software,matching
b000edkurg,http://www.google.com/base/feeds/snippets/13699037964945038111,world of rainbow fish,world of rainbow fish (a9839m2h),matching
b000kzf7oo,http://www.google.com/base/feeds/snippets/18395554978346558556,microsoft office small business 2007,microsoft w87-02380 office sbe 2007 win32,matching
b000e8jlai,http://www.google.com/base/feeds/snippets/18364244585954350504,adobe audition 2.0,adobe 22011152 audition2 win retail ue 1u,matching
b000e8jlai,http://www.google.com/base/feeds/snippets/8918859484248831701,adobe audition 2.0,adobe audition 2.0 audio production software music production software,matching
b000hc0m36,http://www.google.com/base/feeds/snippets/12949835105262366018,quickbooks credit card processing kit 3.0,qb credit card kit 3.0,matching
b0008ewsai,http://www.google.com/base/feeds/snippets/10066664236286478958,instant immersion italian 2.0,instant immersion italian 2.0,matching
b00009adf3,http://www.google.com/base/feeds/snippets/12203635138191657547,instant immersion 33 languages,instant immersion 33 languages,matching
b00009adf3,http://www.google.com/base/feeds/snippets/10843999530069218918,instant immersion 33 languages,instant immersion 33 languages,matching
b00009apn8,http://www.google.com/base/feeds/snippets/17298617365180292947,the printshop 20,the printshop 20,matching
b000rwdd9q,http://www.google.com/base/feeds/snippets/13813465547037122851,sibelius 5 educational edition,sibelius sibelius 5 software - educational discount music production software,matching
b000pihtec,http://www.google.com/base/feeds/snippets/13778334917246964953,weekly reader preparing for kindergarten,weekly reader preparing for kindergarten 2008 (pc/mac) fogware,matching
b0002bqqtq,http://www.google.com/base/feeds/snippets/12603976278153658661,my maillist & addressbook,my maillist & addressbook,matching
b000rw9md2,http://www.google.com/base/feeds/snippets/14209929007229153860,sibelius 5 professional edition,sibelius sibelius 5 software music production software,matching
b000in18nm,http://www.google.com/base/feeds/snippets/12354599434001970846,professional training for vegas 7 and dvd architect 4 sw,vegas7 + dvd upgrade,matching
b000098xiy,http://www.google.com/base/feeds/snippets/12991839860010855049,fisher-price rescue heroes: lava landslide,fisher-price rescue heroes: hurricane havoc,matching
b000c55alw,http://www.google.com/base/feeds/snippets/10177129616064822618,virusbarrier x4 10.4 for mac-10 users,virusbarrier x4 10.4 for mac-10 users (vbx4-10u),matching
b000h20hu4,http://www.google.com/base/feeds/snippets/11816902045207686274,family tree maker version 16 deluxe,family tree maker version 16 deluxe (10870),matching
b0009yegcu,http://www.google.com/base/feeds/snippets/12024241460287341882,instant architect design suite,instant architect design suite (00ids510cc),matching
b00061u8sc,http://www.google.com/base/feeds/snippets/12121003713992255160,axis network camera 213 ptz - digital video camera ( 0220-004 ),axis network camera 213 ptz - digital video camera ( 0220-004 ) (0220-004),matching
b000i2y0cy,http://www.google.com/base/feeds/snippets/1528326579184485637,norton antivirus 2007,symantec norton anti-virus 2007 windows,matching
b000ndemb2,http://www.google.com/base/feeds/snippets/9858798962478264497,f-secure internet security 2007 - 3 pcs,f-secure internet security 2007 - 3 pcs (global marketing partners),matching
b000fzvv3u,http://www.google.com/base/feeds/snippets/9675508034468866052,poetry fiction and drama (win/mac) (jewel case),poetry fiction and drama (win/mac) (jewel case) (10172),matching
